"{'611670', '250820'} | support: 54"
"{'1384160', '348550'} | support: 32"
"{'248820', '632360'} | support: 32"
"{'1618540', '739630'} | support: 38"
"{'1494460', '250820'} | support: 59"
"{'692890', '548430'} | support: 33"
"{'293760', '284160'} | support: 49"
"{'250820', '689580'} | support: 79"
"{'1173510', '1009850'} | support: 70"
"{'1173510', '438100', '1009850'} | support: 67"
"{'1173510', '438100', '250820', '1009850'} | support: 67"
"{'1173510', '250820', '1009850'} | support: 70"
"{'1173510', '438100'} | support: 81"
"{'1173510', '438100', '250820'} | support: 81"
"{'1173510', '250820'} | support: 91"
"{'1840', '440'} | support: 33"
"{'397900', '730'} | support: 43"
"{'250820', '823500'} | support: 103"
"{'250820', '223750'} | support: 32"
"{'730', '42700'} | support: 34"
"{'236850', '42960'} | support: 44"
"{'394360', '42960'} | support: 61"
"{'10190', '730'} | support: 34"
"{'730', '386180'} | support: 34"
"{'570', '1329410'} | support: 52"
"{'231430', '228200'} | support: 32"
"{'220', '730'} | support: 34"
"{'1384160', '1372280'} | support: 51"
"{'730', '761890'} | support: 34"
"{'908520', '1009850'} | support: 32"
"{'908520', '250820', '1009850'} | support: 32"
"{'908520', '438100'} | support: 37"
"{'908520', '250820', '438100'} | support: 37"
"{'908520', '620980'} | support: 40"
"{'908520', '620980', '250820'} | support: 40"
"{'908520', '250820'} | support: 158"
"{'730', '363970'} | support: 38"
"{'571740', '730'} | support: 46"
"{'325610', '214950'} | support: 40"
"{'394360', '251060'} | support: 36"
"{'251060', '236390'} | support: 45"
"{'635260', '730'} | support: 41"
"{'244450', '236390'} | support: 37"
"{'394360', '244450'} | support: 40"
"{'730', '1203220'} | support: 32"
"{'824270', '730'} | support: 51"
"{'824270', '1172470'} | support: 62"
"{'489830', '22330'} | support: 62"
"{'739630', '493520'} | support: 34"
"{'548430', '493520'} | support: 35"
"{'730', '200210'} | support: 34"
"{'730', '322170'} | support: 82"
"{'1085660', '1240440'} | support: 39"
"{'976730', '1240440'} | support: 44"
"{'394690', '440'} | support: 32"
"{'394690', '548430'} | support: 33"
"{'394690', '739630'} | support: 34"
"{'394690', '4000'} | support: 35"
"{'250820', '394690'} | support: 45"
"{'620980', '546560'} | support: 45"
"{'250820', '620980', '546560'} | support: 45"
"{'250820', '546560'} | support: 197"
"{'211420', '374320'} | support: 41"
"{'1190000', '227300'} | support: 35"
"{'12120', '730'} | support: 48"
"{'1782210', '730'} | support: 53"
"{'880940', '739630'} | support: 42"
"{'880940', '730'} | support: 61"
"{'310950', '1384160'} | support: 43"
"{'250820', '264710'} | support: 37"
"{'504370', '730'} | support: 33"
"{'570', '504370'} | support: 39"
"{'730', '1238840'} | support: 35"
"{'570', '444200'} | support: 39"
"{'730', '444200'} | support: 67"
"{'730', '221380'} | support: 42"
"{'34330', '594570'} | support: 34"
"{'394360', '34330'} | support: 36"
"{'250820', '753640'} | support: 35"
"{'700330', '739630'} | support: 34"
"{'700330', '4000'} | support: 37"
"{'700330', '730'} | support: 71"
"{'1080110', '730'} | support: 48"
"{'311690', '250900'} | support: 38"
"{'311690', '730'} | support: 39"
"{'450540', '620980'} | support: 33"
"{'450540', '620980', '250820'} | support: 33"
"{'450540', '548430'} | support: 35"
"{'450540', '250820', '548430'} | support: 35"
"{'450540', '438100'} | support: 45"
"{'450540', '250820', '438100'} | support: 45"
"{'450540', '555160'} | support: 46"
"{'450540', '250820', '555160'} | support: 46"
"{'450540', '629730'} | support: 71"
"{'450540', '250820', '629730'} | support: 71"
"{'450540', '250820'} | support: 248"
"{'552520', '730'} | support: 38"
"{'976310', '570'} | support: 36"
"{'976310', '730'} | support: 50"
"{'203770', '1158310'} | support: 53"
"{'394360', '203770'} | support: 54"
"{'236850', '203770'} | support: 57"
"{'739630', '1068820'} | support: 38"
"{'250820', '739630', '1068820'} | support: 38"
"{'620980', '1068820'} | support: 45"
"{'250820', '620980', '1068820'} | support: 45"
"{'1068820', '1009850'} | support: 151"
"{'438100', '1068820', '1009850'} | support: 132"
"{'438100', '250820', '1068820', '1009850'} | support: 132"
"{'250820', '1068820', '1009850'} | support: 151"
"{'438100', '1068820'} | support: 179"
"{'438100', '250820', '1068820'} | support: 179"
"{'250820', '1068820'} | support: 255"
"{'730', '805550'} | support: 39"
"{'1134570', '805550'} | support: 41"
"{'244210', '805550'} | support: 77"
"{'780310', '548430'} | support: 36"
"{'690790', '250820'} | support: 37"
"{'690790', '244210'} | support: 54"
"{'690790', '730'} | support: 54"
"{'250820', '1118200'} | support: 50"
"{'730', '1118200'} | support: 56"
"{'4000', '1118200'} | support: 57"
"{'218230', '730'} | support: 34"
"{'1313860', '730'} | support: 79"
"{'581320', '418460'} | support: 36"
"{'107410', '418460'} | support: 39"
"{'418460', '236390'} | support: 45"
"{'730', '418460'} | support: 57"
"{'1267910', '1063730'} | support: 33"
"{'513710', '730'} | support: 32"
"{'513710', '1063730'} | support: 34"
"{'594650', '1600360'} | support: 37"
"{'1600360', '1172470'} | support: 38"
"{'1600360', '1063730'} | support: 39"
"{'1600360', '730'} | support: 42"
