 {'250820',  '611670'} , support:  54 
 {'1384160',  '348550'} , support:  32 
 {'632360',  '248820'} , support:  32 
 {'739630',  '1618540'} , support:  38 
 {'250820',  '1494460'} , support:  59 
 {'692890',  '548430'} , support:  33 
 {'293760',  '284160'} , support:  49 
 {'250820',  '689580'} , support:  79 
 {'1173510',  '1009850'} , support:  70 
 {'438100',  '1173510',  '1009850'} , support:  67 
 {'438100',  '1173510',  '1009850',  '250820'} , support:  67 
 {'250820',  '1173510',  '1009850'} , support:  70 
 {'438100',  '1173510'} , support:  81 
 {'438100',  '1173510',  '250820'} , support:  81 
 {'250820',  '1173510'} , support:  91 
 {'1840',  '440'} , support:  33 
 {'730',  '397900'} , support:  43 
 {'250820',  '823500'} , support:  103 
 {'223750',  '250820'} , support:  32 
 {'730',  '42700'} , support:  34 
 {'42960',  '236850'} , support:  44 
 {'42960',  '394360'} , support:  61 
 {'730',  '10190'} , support:  34 
 {'730',  '386180'} , support:  34 
 {'1329410',  '570'} , support:  52 
 {'228200',  '231430'} , support:  32 
 {'730',  '220'} , support:  34 
 {'1372280',  '1384160'} , support:  51 
 {'730',  '761890'} , support:  34 
 {'908520',  '1009850'} , support:  32 
 {'908520',  '1009850',  '250820'} , support:  32 
 {'908520',  '438100'} , support:  37 
 {'908520',  '250820',  '438100'} , support:  37 
 {'620980',  '908520'} , support:  40 
 {'620980',  '908520',  '250820'} , support:  40 
 {'908520',  '250820'} , support:  158 
 {'363970',  '730'} , support:  38 
 {'730',  '571740'} , support:  46 
 {'214950',  '325610'} , support:  40 
 {'394360',  '251060'} , support:  36 
 {'236390',  '251060'} , support:  45 
 {'730',  '635260'} , support:  41 
 {'244450',  '236390'} , support:  37 
 {'244450',  '394360'} , support:  40 
 {'730',  '1203220'} , support:  32 
 {'730',  '824270'} , support:  51 
 {'1172470',  '824270'} , support:  62 
 {'22330',  '489830'} , support:  62 
 {'739630',  '493520'} , support:  34 
 {'548430',  '493520'} , support:  35 
 {'200210',  '730'} , support:  34 
 {'322170',  '730'} , support:  82 
 {'1240440',  '1085660'} , support:  39 
 {'1240440',  '976730'} , support:  44 
 {'394690',  '440'} , support:  32 
 {'394690',  '548430'} , support:  33 
 {'739630',  '394690'} , support:  34 
 {'394690',  '4000'} , support:  35 
 {'394690',  '250820'} , support:  45 
 {'620980',  '546560'} , support:  45 
 {'620980',  '250820',  '546560'} , support:  45 
 {'250820',  '546560'} , support:  197 
 {'211420',  '374320'} , support:  41 
 {'227300',  '1190000'} , support:  35 
 {'12120',  '730'} , support:  48 
 {'730',  '1782210'} , support:  53 
 {'739630',  '880940'} , support:  42 
 {'730',  '880940'} , support:  61 
 {'310950',  '1384160'} , support:  43 
 {'250820',  '264710'} , support:  37 
 {'730',  '504370'} , support:  33 
 {'504370',  '570'} , support:  39 
 {'730',  '1238840'} , support:  35 
 {'444200',  '570'} , support:  39 
 {'444200',  '730'} , support:  67 
 {'730',  '221380'} , support:  42 
 {'34330',  '594570'} , support:  34 
 {'34330',  '394360'} , support:  36 
 {'250820',  '753640'} , support:  35 
 {'739630',  '700330'} , support:  34 
 {'4000',  '700330'} , support:  37 
 {'730',  '700330'} , support:  71 
 {'730',  '1080110'} , support:  48 
 {'311690',  '250900'} , support:  38 
 {'311690',  '730'} , support:  39 
 {'620980',  '450540'} , support:  33 
 {'620980',  '250820',  '450540'} , support:  33 
 {'548430',  '450540'} , support:  35 
 {'250820',  '548430',  '450540'} , support:  35 
 {'438100',  '450540'} , support:  45 
 {'438100',  '250820',  '450540'} , support:  45 
 {'555160',  '450540'} , support:  46 
 {'250820',  '555160',  '450540'} , support:  46 
 {'629730',  '450540'} , support:  71 
 {'629730',  '250820',  '450540'} , support:  71 
 {'250820',  '450540'} , support:  248 
 {'730',  '552520'} , support:  38 
 {'976310',  '570'} , support:  36 
 {'730',  '976310'} , support:  50 
 {'1158310',  '203770'} , support:  53 
 {'394360',  '203770'} , support:  54 
 {'236850',  '203770'} , support:  57 
 {'739630',  '1068820'} , support:  38 
 {'739630',  '250820',  '1068820'} , support:  38 
 {'620980',  '1068820'} , support:  45 
 {'620980',  '250820',  '1068820'} , support:  45 
 {'1068820',  '1009850'} , support:  151 
 {'438100',  '1068820',  '1009850'} , support:  132 
 {'438100',  '1068820',  '1009850',  '250820'} , support:  132 
 {'250820',  '1068820',  '1009850'} , support:  151 
 {'438100',  '1068820'} , support:  179 
 {'438100',  '1068820',  '250820'} , support:  179 
 {'250820',  '1068820'} , support:  255 
 {'730',  '805550'} , support:  39 
 {'805550',  '1134570'} , support:  41 
 {'805550',  '244210'} , support:  77 
 {'780310',  '548430'} , support:  36 
 {'690790',  '250820'} , support:  37 
 {'690790',  '244210'} , support:  54 
 {'730',  '690790'} , support:  54 
 {'250820',  '1118200'} , support:  50 
 {'730',  '1118200'} , support:  56 
 {'4000',  '1118200'} , support:  57 
 {'730',  '218230'} , support:  34 
 {'730',  '1313860'} , support:  79 
 {'581320',  '418460'} , support:  36 
 {'107410',  '418460'} , support:  39 
 {'236390',  '418460'} , support:  45 
 {'730',  '418460'} , support:  57 
 {'1267910',  '1063730'} , support:  33 
 {'730',  '513710'} , support:  32 
 {'1063730',  '513710'} , support:  34 
 {'594650',  '1600360'} , support:  37 
 {'1600360',  '1172470'} , support:  38 
 {'1063730',  '1600360'} , support:  39 
 {'730',  '1600360'} , support:  42 
 {'730',  '379430'} , support:  35 
 {'739630',  '621060'} , support:  32 
 {'294100',  '233860'} , support:  50 
 {'228380',  '252950'} , support:  37 
 {'730',  '228380'} , support:  52 
 {'1172470',  '1049590'} , support:  51 
 {'440900',  '1063730'} , support:  33 
 {'1366540',  '427520'} , support:  34 
 {'105600',  '211820'} , support:  45 
 {'739630',  '527230'} , support:  35 
 {'527230',  '548430'} , support:  40 
 {'214950',  '394360'} , support:  34 
 {'730',  '214950'} , support:  38 
 {'214950',  '261550'} , support:  46 
 {'214950',  '594570'} , support:  52 
 {'1063730',  '780290'} , support:  32 
 {'286160',  '780290'} , support:  32 
 {'780290',  '548430'} , support:  39 
 {'730',  '1263850'} , support:  38 
 {'1569040',  '1263850'} , support:  63 
 {'730',  '814380'} , support:  38 
 {'814380',  '374320'} , support:  57 
 {'466560',  '570'} , support:  32 
 {'466560',  '548430'} , support:  36 
 {'367520',  '250900'} , support:  36 
 {'730',  '1046930'} , support:  78 
